idx,comment_id,video_id,text,actual_label,review_bucket,notes,predicted_label,predicted_confidence,is_match
52,Ugz4Xjqzthy42B-b0d94AaABAg,DXVHmGoCTco,\u0623\u0637\u0641\u0627\u0644\u064a \u064a\u062a\u0627\u0628\u0639\u0648\u0646\u0643 \u0628\u0634\u0643\u0644 \u062f\u0627\u0626\u0645 \U0001f44d\u0648\u0647\u0645 \u0645\u0639\u062c\u0628\u0648\u0646 \u0628\u0643 \u0643\u062b\u064a\u0631\u0627\u064b.,positive,supportive,supportive,positive,0.984347,yes
53,UgyO5XuQaxHFDy0tJzR4AaABAg,DXVHmGoCTco,ROBLOX 100.000 pls G\u0130VE? \U0001f97a,neutral,request,request,negative,0.693494,no
54,UgyevfPVA_HChlrug4Z4AaABAg,DXVHmGoCTco,Ishowspeed my favorite,positive,supportive,supportive,positive,0.919123,yes
55,Ugz6kqWNl-bCpeDoIch4AaABAg,DXVHmGoCTco,I am from India and I am single mother and I wanted to do a challenge like living in bunker for 100 days with my children,neutral,request,request,neutral,0.655179,yes
56,UgzUMbxotOHSQHS8UKF4AaABAg,DXVHmGoCTco,H\u0131 Guys \u2764,positive,greeting with heart,greeting with heart,positive,0.737871,yes
57,UgxZMcKdWGMZ8BM8pQh4AaABAg,DXVHmGoCTco,Mr beast rassian and rassia chanel,neutral,unclear request,unclear request,negative,0.436483,no
58,UgzizOk9RtBJ5i6ovU54AaABAg,DXVHmGoCTco,"real quick, why the captions blue? and more importantly, HOW!?",neutral,question,question,negative,0.882996,no
59,UgxvxP3C8Fjzj7_NFqV4AaABAg,DXVHmGoCTco,4:48 the Lamborghini just vhanged from a huracan to a aventador SVJ,neutral,observation,observation,negative,0.647640,no
60,Ugx3k-SLdWHXyavbGUl4AaABAg,DXVHmGoCTco,Ishowspeeddd!!! 10:22,positive,excited reaction,excited reaction,positive,0.638353,yes
61,UgyaNTOl_3ynt6X8T9x4AaABAg,DXVHmGoCTco,Early,neutral,timing comment,timing comment,neutral,0.592254,yes
62,UgzipbCL1WAPCNBt7p54AaABAg,DXVHmGoCTco,"Mr. Bist, if you or someone from your team reads my comment, it would be interesting and funny if you recorded a simple video somewhere in Russia or in your usual style",positive,suggestion,suggestion,positive,0.543750,yes
63,Ugz02DKRy2BmVE2TnbB4AaABAg,DXVHmGoCTco,Awesome,positive,clear praise,clear praise,positive,0.628355,yes
64,Ugxy9MgvnzG_IEzqt314AaABAg,DXVHmGoCTco,5:00 how much is that lambo?,neutral,question,question,neutral,0.967655,yes
65,Ugw27g8_tVAcIXLu8A54AaABAg,DXVHmGoCTco,Lucu sama bagussss \U0001f389\U0001f389\U0001f389,positive,clear praise,clear praise,positive,0.949764,yes
66,UgwbdeG3rcJMe7I0F0t4AaABAg,DXVHmGoCTco,\u3089\u304b\u3044\u305c\u3063\u305f\u3044\u306c\u3051\u308d,negative,criticism,criticism,negative,0.552585,yes
67,Ugx1R3w-Ypec6CcD-UN4AaABAg,DXVHmGoCTco,Spanish community is the best,positive,community praise,community praise,positive,0.920004,yes
68,UgzjvkMfDp9QgUgSYwh4AaABAg,DXVHmGoCTco,dear mr beast. mi hermano aconseja que chandler debi\xf3 estar sobre una plataforma giratoria y lanzar desde ah\xed.  saludos desde Sang Tiang Goh -chile,neutral,suggestion,suggestion,neutral,0.956945,yes
69,Ugxfg_O7nCVKo74DS_V4AaABAg,DXVHmGoCTco,Kenal aja kagak\U0001f639,negative,mocking,mocking,neutral,0.676327,no
70,UgzfL_EY2RU7eVV5z1x4AaABAg,DXVHmGoCTco,HI MRBeast,positive,greeting,greeting,positive,0.493671,yes
71,Ugw7GuFA4AfefxIrafR4AaABAg,DXVHmGoCTco,RAKAI\u2764\u200d\U0001f525,positive,supportive,supportive,positive,0.767489,yes
72,Ugx_Y5xasdT11HlIvjV4AaABAg,DXVHmGoCTco,\U0001f60a\U0001f60a\U0001f60a,positive,emoji only,emoji only,positive,0.936169,yes
73,UgwEny6QvLZe0RmTdYF4AaABAg,DXVHmGoCTco,\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f605\U0001f605\U0001f605\U0001f605\U0001f61d\U0001f61d\U0001f61d\U0001f61d\U0001f61d\U0001f61b\U0001f61b\U0001f61b\U0001f61b\U0001f61b\U0001f61b\U0001f61b,positive,emoji only,emoji only,positive,0.924691,yes
74,Ugx4EXOORhkTtWRZS6F4AaABAg,DXVHmGoCTco,Best won me money,positive,supportive,supportive,positive,0.564734,yes
75,UgyF9_hYgr9XkZu-g6R4AaABAg,DXVHmGoCTco,Delusional mr beast thinks universe has no other bigger streamers stupid ahh,negative,criticism,criticism,negative,0.970102,yes
76,UgwTs0rjKFfgND1fj5h4AaABAg,DXVHmGoCTco,Show us the water wells,neutral,request,request,neutral,0.758657,yes
77,Ugz_XniC-pbMvLn6QZV4AaABAg,DXVHmGoCTco,bro where tf is cory?,negative,question,question,negative,0.932691,yes
78,Ugx99t7FLVIM6SZJeL94AaABAg,DXVHmGoCTco,ini pap ji bukan si apa ff ya ?\u2728\U0001f47b,neutral,unclear foreign language,unclear foreign language,neutral,0.484131,yes
79,Ugzlft2T6llGWztt2gN4AaABAg,DXVHmGoCTco,ini pap ji bukan si apa ff ya ?\u2728\U0001f47b,neutral,unclear foreign language,unclear foreign language,neutral,0.484131,yes
80,UgzCe805SqhBCOON4MN4AaABAg,DXVHmGoCTco,Speed I love u,positive,love statement,love statement,positive,0.805294,yes
81,Ugzxmoi-5h3IGRnMOfp4AaABAg,DXVHmGoCTco,ini pap ji bukan si apa ff ya ?\u2728\U0001f47b,neutral,unclear foreign language,unclear foreign language,neutral,0.484131,yes
82,Ugw_kDniaFFqHv5t2iB4AaABAg,DXVHmGoCTco,\u0111\u1ecd mixi \u0111\u00e2u,neutral,question,question,neutral,0.480149,yes
83,UgwVS46hANkoJLWPTa94AaABAg,DXVHmGoCTco,Mr beast please come me in your big challenge  I'm Pakistani  And please give me I phone 17 pro in my birthday  Please,neutral,request,request,positive,0.457541,no
84,Ugxj5CZ68PY_-oIhdCh4AaABAg,DXVHmGoCTco,Mrbeast,neutral,name only,name only,neutral,0.460831,yes
85,UgxikomHzpL6PKFAXTB4AaABAg,DXVHmGoCTco,Rakkai is the ultimate ragebaiter \U0001f62d,negative,criticism,criticism,negative,0.982176,yes
86,Ugw3XS4rxq_OxJiv4Bp4AaABAg,DXVHmGoCTco,\u4eba\u5bb6\u8eab\u8fb9\u4eba\u90fd\u4f1a\u88ab\u67e5\u770b,neutral,unclear foreign language,unclear foreign language,neutral,0.822212,yes
87,UgwC-XMZxSacPRlkkbJ4AaABAg,DXVHmGoCTco,Check out iampancake61,neutral,promotion spam,promotion spam,neutral,0.714688,yes
88,UgwBcy0T83nsWEbroQ94AaABAg,DXVHmGoCTco,Me encanta tus v\xeddeos puedes venir a Venezuela clasi estado Sucre Car\xfapano,positive,supportive,supportive,positive,0.564461,yes
89,UgzB3ieSW90kNr56lKx4AaABAg,DXVHmGoCTco,21:02 why is mister beast crawling like that \U0001f62d,neutral,question,question,negative,0.983539,no
90,UgzdK2Fs7_oUjiSsWrF4AaABAg,DXVHmGoCTco,\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5 \U0001f64f \U0001f64f \U0001f64f \U0001f64f \U0001f62d\U0001f62d \U0001f62d \U0001f62d \U0001f62d \U0001f62d \U0001f62d,negative,request with sadness,request with sadness,negative,0.815636,yes
91,Ugz1XphJMt2sUcG17il4AaABAg,DXVHmGoCTco,Genuinely wanted rakai to win,positive,supportive,supportive,positive,0.411201,yes
92,UgxGPBrOAuBbvUd6NdF4AaABAg,DXVHmGoCTco,Hi,positive,greeting,greeting,positive,0.417417,yes
93,Ugy0eboeEDR4Gjtjfa94AaABAg,DXVHmGoCTco,Mr best eu sei voc\xea n\xe3o vai ler isso mais eu queria participar de um v\xeddeo seu,neutral,request,request,neutral,0.681034,yes
94,UgxscTLqcAdUKAsC3kd4AaABAg,DXVHmGoCTco,Dientes,neutral,unclear short text,unclear short text,neutral,0.547052,yes
95,UgyC8uAr5_MUMtnRVGF4AaABAg,DXVHmGoCTco,Esos dientes,neutral,unclear short text,unclear short text,neutral,0.645651,yes
96,UgwIE7488Gn98f5-MDR4AaABAg,DXVHmGoCTco,Payal gaming representing India is the worst thing possible for Indian youtubers \U0001f622,negative,criticism,criticism,negative,0.977869,yes
97,UgzPMZnJThMl9-JSOWZ4AaABAg,DXVHmGoCTco,Payal gaming \u2764,positive,supportive,supportive,positive,0.701627,yes
98,UgyZ63uiX1fz1zOrXk94AaABAg,DXVHmGoCTco,This is cinema and cool! 28:57,positive,clear praise,clear praise,positive,0.926827,yes
99,Ugwg5pBIJRHUnDyLxdh4AaABAg,DXVHmGoCTco,15:09  folk\U0001f62d\U0001f494,negative,sad reaction,sad reaction,negative,0.963643,yes
100,UgxnvxRx6dx1pjkabph4AaABAg,DXVHmGoCTco,rakai is crazyyyand i love himmmm,positive,supportive,supportive,positive,0.870620,yes
