idx,comment_id,video_id,text,assistant_seed_label,review_needed,notes
57,UgxZMcKdWGMZ8BM8pQh4AaABAg,DXVHmGoCTco,"Mr beast rassian and rassia chanel",neutral,yes,"unclear request"
58,UgzizOk9RtBJ5i6ovU54AaABAg,DXVHmGoCTco,"real quick, why the captions blue? and more importantly, HOW!?",neutral,no,"question"
59,UgxvxP3C8Fjzj7_NFqV4AaABAg,DXVHmGoCTco,"4:48 the Lamborghini just vhanged from a huracan to a aventador SVJ",neutral,no,"observation"
60,Ugx3k-SLdWHXyavbGUl4AaABAg,DXVHmGoCTco,"Ishowspeeddd!!! 10:22",positive,no,"excited mention"
61,UgyaNTOl_3ynt6X8T9x4AaABAg,DXVHmGoCTco,"Early",neutral,no,"timing comment"
62,UgzipbCL1WAPCNBt7p54AaABAg,DXVHmGoCTco,"Mr. Bist, if you or someone from your team reads my comment, it would be interesting and funny if you recorded a simple video somewhere in Russia or in your usual style",neutral,yes,"suggestion"
63,Ugz02DKRy2BmVE2TnbB4AaABAg,DXVHmGoCTco,"Awesome",positive,no,"clear praise"
64,Ugxy9MgvnzG_IEzqt314AaABAg,DXVHmGoCTco,"5:00 how much is that lambo?",neutral,no,"question"
65,Ugw27g8_tVAcIXLu8A54AaABAg,DXVHmGoCTco,"Lucu sama bagussss \U0001f389\U0001f389\U0001f389",positive,yes,"Indonesian praise"
66,UgwbdeG3rcJMe7I0F0t4AaABAg,DXVHmGoCTco,"\u3089\u304b\u3044\u305c\u3063\u305f\u3044\u306c\u3051\u308d",negative,yes,"Japanese criticism"
67,Ugx1R3w-Ypec6CcD-UN4AaABAg,DXVHmGoCTco,"Spanish community is the best",positive,no,"community praise"
68,UgzjvkMfDp9QgUgSYwh4AaABAg,DXVHmGoCTco,"dear mr beast. mi hermano aconseja que chandler debi\xf3 estar sobre una plataforma giratoria y lanzar desde ah\xed.  saludos desde Sang Tiang Goh -chile",neutral,yes,"constructive suggestion in Spanish"
69,Ugxfg_O7nCVKo74DS_V4AaABAg,DXVHmGoCTco,"Kenal aja kagak\U0001f639",negative,yes,"mocking tone"
70,UgzfL_EY2RU7eVV5z1x4AaABAg,DXVHmGoCTco,"HI MRBeast",neutral,no,"greeting"
71,Ugw7GuFA4AfefxIrafR4AaABAg,DXVHmGoCTco,"RAKAI\u2764\u200d\U0001f525",positive,yes,"support with emoji"
72,Ugx_Y5xasdT11HlIvjV4AaABAg,DXVHmGoCTco,"\U0001f60a\U0001f60a\U0001f60a",positive,yes,"emoji only"
73,UgwEny6QvLZe0RmTdYF4AaABAg,DXVHmGoCTco,"\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f605\U0001f605\U0001f605\U0001f605\U0001f61d\U0001f61d\U0001f61d\U0001f61d\U0001f61d\U0001f61b\U0001f61b\U0001f61b\U0001f61b\U0001f61b\U0001f61b\U0001f61b",positive,yes,"emoji laughter"
74,Ugx4EXOORhkTtWRZS6F4AaABAg,DXVHmGoCTco,"Best won me money",positive,yes,"likely praise but grammar unclear"
75,UgyF9_hYgr9XkZu-g6R4AaABAg,DXVHmGoCTco,"Delusional mr beast thinks universe has no other bigger streamers stupid ahh",negative,no,"clear insult"
76,UgwTs0rjKFfgND1fj5h4AaABAg,DXVHmGoCTco,"Show us the water wells",neutral,no,"request"
77,Ugz_XniC-pbMvLn6QZV4AaABAg,DXVHmGoCTco,"bro where tf is cory?",neutral,yes,"question with frustration"
78,Ugx99t7FLVIM6SZJeL94AaABAg,DXVHmGoCTco,"ini pap ji bukan si apa ff ya ?\u2728\U0001f47b",neutral,yes,"unclear Indonesian"
79,Ugzlft2T6llGWztt2gN4AaABAg,DXVHmGoCTco,"ini pap ji bukan si apa ff ya ?\u2728\U0001f47b",neutral,yes,"unclear Indonesian duplicate text"
80,UgzCe805SqhBCOON4MN4AaABAg,DXVHmGoCTco,"Speed I love u",positive,no,"love statement"
81,Ugzxmoi-5h3IGRnMOfp4AaABAg,DXVHmGoCTco,"ini pap ji bukan si apa ff ya ?\u2728\U0001f47b",neutral,yes,"unclear Indonesian duplicate text"
82,Ugw_kDniaFFqHv5t2iB4AaABAg,DXVHmGoCTco,"\u0111\u1ecd mixi \u0111\xe2u",neutral,yes,"Vietnamese question"
83,UgwVS46hANkoJLWPTa94AaABAg,DXVHmGoCTco,"Mr beast please come me in your big challenge  I'm Pakistani  And please give me I phone 17 pro in my birthday  Please",neutral,yes,"request"
84,Ugxj5CZ68PY_-oIhdCh4AaABAg,DXVHmGoCTco,"Mrbeast",neutral,yes,"name only"
85,UgxikomHzpL6PKFAXTB4AaABAg,DXVHmGoCTco,"Rakkai is the ultimate ragebaiter \U0001f62d",negative,no,"clear criticism"
86,Ugw3XS4rxq_OxJiv4Bp4AaABAg,DXVHmGoCTco,"\u4eba\u5bb6\u8eab\u8fb9\u4eba\u90fd\u4f1a\u88ab\u67e5\u770b",neutral,yes,"Chinese unclear context"
87,UgwC-XMZxSacPRlkkbJ4AaABAg,DXVHmGoCTco,"Check out iampancake61",neutral,yes,"promotion spam"
88,UgwBcy0T83nsWEbroQ94AaABAg,DXVHmGoCTco,"Me encanta tus v\xeddeos puedes venir a Venezuela clasi estado Sucre Car\xfapano",positive,yes,"Spanish praise plus request"
89,UgzB3ieSW90kNr56lKx4AaABAg,DXVHmGoCTco,"21:02 why is mister beast crawling like that \U0001f62d",neutral,yes,"question with emoji"
90,UgzdK2Fs7_oUjiSsWrF4AaABAg,DXVHmGoCTco,"\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5\U0001f4b5 \U0001f64f \U0001f64f \U0001f64f \U0001f64f \U0001f62d\U0001f62d \U0001f62d \U0001f62d \U0001f62d \U0001f62d \U0001f62d",negative,yes,"money begging with crying"
91,Ugz1XphJMt2sUcG17il4AaABAg,DXVHmGoCTco,"Genuinely wanted rakai to win",positive,no,"supportive"
92,UgxGPBrOAuBbvUd6NdF4AaABAg,DXVHmGoCTco,"Hi",neutral,no,"greeting"
93,Ugy0eboeEDR4Gjtjfa94AaABAg,DXVHmGoCTco,"Mr best eu sei voc\xea n\xe3o vai ler isso mais eu queria participar de um v\xeddeo seu",neutral,yes,"Portuguese request"
94,UgxscTLqcAdUKAsC3kd4AaABAg,DXVHmGoCTco,"Dientes",neutral,yes,"single word unclear"
95,UgyC8uAr5_MUMtnRVGF4AaABAg,DXVHmGoCTco,"Esos dientes",neutral,yes,"short phrase unclear"
96,UgwIE7488Gn98f5-MDR4AaABAg,DXVHmGoCTco,"Payal gaming representing India is the worst thing possible for Indian youtubers \U0001f622",negative,no,"clear criticism"
97,UgzPMZnJThMl9-JSOWZ4AaABAg,DXVHmGoCTco,"Payal gaming \u2764",positive,yes,"support with heart"
98,UgyZ63uiX1fz1zOrXk94AaABAg,DXVHmGoCTco,"This is cinema and cool! 28:57",positive,no,"clear praise"
99,Ugwg5pBIJRHUnDyLxdh4AaABAg,DXVHmGoCTco,"15:09  folk\U0001f62d\U0001f494",negative,yes,"sad reaction"
100,UgxnvxRx6dx1pjkabph4AaABAg,DXVHmGoCTco,"rakai is crazyyyand i love himmmm",positive,yes,"supportive slang"
